"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Nov-2023","EQ","1,002.00","1,010.75","999.70","999.05","1,009.00","1,008.50","1,006.79","1,047.50","814.30","69,56,281","7,00,35,45,304.55","1,75,696"
"23-Nov-2023","EQ","999.00","1,003.40","995.40","998.10","1,000.20","999.05","999.79","1,047.50","814.30","31,12,891","3,11,22,31,228.85","1,19,969"
"22-Nov-2023","EQ","991.00","999.90","988.00","991.80","999.40","998.10","994.21","1,047.50","814.30","61,03,988","6,06,86,67,929.00","1,63,331"
"21-Nov-2023","EQ","989.95","997.50","986.65","988.70","992.80","991.80","992.04","1,047.50","814.30","70,61,614","7,00,53,84,921.90","1,80,845"
"20-Nov-2023","EQ","981.00","994.75","980.35","994.35","988.00","988.70","988.02","1,047.50","814.30","82,15,656","8,11,71,97,106.55","1,59,755"
"17-Nov-2023","EQ","1,014.90","1,020.00","991.85","1,026.35","992.65","994.35","999.54","1,047.50","814.30","1,32,68,353","13,26,22,93,055.55","2,50,682"
"16-Nov-2023","EQ","1,042.80","1,044.00","1,022.15","1,041.35","1,026.00","1,026.35","1,034.32","1,047.50","814.30","69,08,825","7,14,59,41,936.85","1,33,655"
"15-Nov-2023","EQ","1,045.00","1,045.00","1,031.55","1,025.35","1,041.50","1,041.35","1,038.30","1,047.50","814.30","72,40,388","7,51,76,65,811.35","2,03,111"
"13-Nov-2023","EQ","1,030.05","1,031.85","1,023.50","1,029.95","1,026.00","1,025.35","1,027.36","1,047.50","814.30","59,85,481","6,14,92,42,004.05","1,84,560"
"12-Nov-2023","EQ","1,033.90","1,033.90","1,026.25","1,029.20","1,029.10","1,029.95","1,029.99","1,047.50","814.30","4,61,834","47,56,82,172.40","12,284"
"10-Nov-2023","EQ","1,017.90","1,031.00","1,016.65","1,021.90","1,029.80","1,029.20","1,024.38","1,047.50","814.30","32,94,063","3,37,43,59,818.35","1,10,355"
"09-Nov-2023","EQ","1,024.75","1,028.85","1,016.65","1,021.70","1,021.25","1,021.90","1,022.76","1,047.50","814.30","44,07,935","4,50,82,79,534.60","1,45,383"
"08-Nov-2023","EQ","1,024.00","1,026.95","1,015.60","1,020.90","1,020.10","1,021.70","1,020.58","1,047.50","814.30","76,43,314","7,80,06,10,010.25","2,17,176"
"07-Nov-2023","EQ","1,008.00","1,022.20","1,005.25","1,009.40","1,019.50","1,020.90","1,012.62","1,047.50","814.30","65,59,859","6,64,26,30,808.20","1,74,587"
"06-Nov-2023","EQ","995.00","1,016.20","993.10","988.85","1,010.05","1,009.40","1,008.78","1,047.50","814.30","65,52,178","6,60,96,74,739.85","1,28,492"
"03-Nov-2023","EQ","986.00","991.40","981.50","982.95","987.05","988.85","987.32","1,047.50","814.30","42,68,048","4,21,39,12,165.80","1,02,341"
"02-Nov-2023","EQ","978.00","988.35","974.00","971.80","982.50","982.95","981.85","1,047.50","814.30","51,93,982","5,09,97,06,109.85","1,11,235"
"01-Nov-2023","EQ","977.85","979.30","968.00","981.85","971.40","971.80","973.48","1,047.50","814.30","57,03,984","5,55,26,86,766.80","1,79,324"
"31-Oct-2023","EQ","998.00","998.00","978.00","989.20","980.45","981.85","984.46","1,047.50","814.30","78,16,805","7,69,53,70,543.30","1,84,332"
"30-Oct-2023","EQ","1,002.75","1,002.75","979.20","1,002.75","989.60","989.20","987.85","1,047.50","814.30","52,70,567","5,20,65,05,053.35","1,50,634"
"27-Oct-2023","EQ","980.00","1,004.75","973.30","972.05","999.90","1,002.75","988.83","1,047.50","814.30","1,34,43,016","13,29,29,05,893.75","1,89,306"
"26-Oct-2023","EQ","956.00","975.00","952.75","955.45","973.55","972.05","967.37","1,047.50","814.30","1,75,40,495","16,96,80,91,091.25","3,46,029"
"25-Oct-2023","EQ","960.00","974.00","951.40","964.30","956.85","955.45","961.87","1,047.50","814.30","69,57,048","6,69,18,05,765.40","1,98,957"
"23-Oct-2023","EQ","980.00","984.90","961.10","980.35","965.55","964.30","973.56","1,047.50","814.30","58,96,695","5,74,07,66,147.25","1,85,172"
"20-Oct-2023","EQ","989.00","992.90","977.75","991.40","979.40","980.35","983.17","1,047.50","797.10","56,64,400","5,56,90,86,834.10","1,30,181"
"19-Oct-2023","EQ","979.70","999.00","979.70","992.85","993.15","991.40","991.09","1,047.50","797.10","48,36,625","4,79,35,47,168.05","1,49,519"
"18-Oct-2023","EQ","1,010.00","1,014.10","989.35","1,008.05","993.70","992.85","997.16","1,047.50","797.10","78,18,946","7,79,67,54,978.65","2,05,313"
"17-Oct-2023","EQ","1,008.85","1,014.70","1,003.10","1,004.80","1,009.90","1,008.05","1,008.85","1,047.50","797.10","61,05,067","6,15,91,18,108.15","1,54,834"
"16-Oct-2023","EQ","990.00","1,009.45","990.00","994.05","1,005.15","1,004.80","1,003.49","1,047.50","797.10","46,46,960","4,66,31,80,997.30","1,55,414"
"13-Oct-2023","EQ","1,009.00","1,011.45","992.25","1,018.45","994.05","994.05","998.31","1,047.50","745.00","1,21,73,162","12,15,25,69,388.55","2,01,935"
"12-Oct-2023","EQ","1,022.00","1,031.00","1,014.95","1,019.10","1,017.40","1,018.45","1,022.99","1,047.50","745.00","49,20,222","5,03,33,47,282.55","1,98,459"
"11-Oct-2023","EQ","1,019.00","1,025.65","1,012.00","1,012.25","1,017.45","1,019.10","1,018.04","1,047.50","745.00","73,96,783","7,53,01,86,917.05","1,48,973"
"10-Oct-2023","EQ","999.90","1,014.95","996.50","996.25","1,011.25","1,012.25","1,008.29","1,047.50","745.00","57,28,499","5,77,59,72,985.90","1,91,384"
"09-Oct-2023","EQ","994.80","999.70","988.25","1,000.95","996.45","996.25","994.55","1,047.50","745.00","68,23,214","6,78,60,39,020.80","1,43,985"
"06-Oct-2023","EQ","1,005.00","1,008.00","999.40","1,003.25","1,004.00","1,000.95","1,003.17","1,047.50","721.05","52,89,753","5,30,65,21,872.55","1,57,387"
"05-Oct-2023","EQ","1,000.00","1,009.20","988.90","995.55","1,003.75","1,003.25","1,000.63","1,047.50","721.05","79,50,412","7,95,54,54,133.35","1,79,665"
"04-Oct-2023","EQ","1,035.35","1,037.00","988.85","1,041.05","991.90","995.55","1,011.38","1,047.50","721.05","2,25,84,212","22,84,13,23,284.10","3,61,995"
"03-Oct-2023","EQ","1,035.00","1,044.70","1,032.60","1,036.70","1,038.50","1,041.05","1,039.65","1,047.50","721.05","1,15,89,322","12,04,87,86,340.35","2,15,276"
"29-Sep-2023","EQ","1,030.90","1,041.00","1,024.50","1,030.90","1,036.85","1,036.70","1,034.57","1,047.50","707.70","95,28,626","9,85,80,42,195.50","1,90,409"
"28-Sep-2023","EQ","1,027.00","1,037.95","1,025.20","1,025.20","1,028.75","1,030.90","1,030.83","1,047.50","707.70","1,58,18,489","16,30,62,35,118.20","2,27,026"
"27-Sep-2023","EQ","1,009.95","1,027.95","1,004.00","1,014.15","1,024.50","1,025.20","1,016.20","1,047.50","707.70","51,58,686","5,24,22,58,067.55","1,43,890"
"26-Sep-2023","EQ","1,019.00","1,020.70","1,011.00","1,018.95","1,014.70","1,014.15","1,014.39","1,047.50","707.70","63,87,615","6,47,95,29,299.60","1,31,422"
"25-Sep-2023","EQ","1,015.20","1,026.00","1,005.15","1,018.25","1,019.70","1,018.95","1,015.78","1,047.50","707.70","71,23,890","7,23,63,37,809.65","1,48,886"
"22-Sep-2023","EQ","1,010.00","1,027.25","1,008.00","1,014.45","1,019.50","1,018.25","1,020.91","1,047.50","707.70","71,08,110","7,25,67,68,050.45","2,17,224"
